,conpany,position,Salary,avg_salary
0,顺丰速运,顺丰速运招聘水/空/陆运操作,6-9K,7.5
1,顺丰快递,顺丰快递招聘水/空/陆运操作,9-14K,11.5
2,德邦快递,文员,4-5K,4.5
3,跨越速运,销售,8-13K,10.5
4,海得控制,海得控制招聘折弯工,5-10K,7.5
5,菜鸟直送,菜鸟直送招聘配送站长,7-11K,9.0
6,火星人集成灶,2024届星青年-营销管理(J10655),20-30K,25.0
7,慧博云通,Java开发(短期六个月，六险一金，双休）,10-12K,11.0
8,拼多多,多多买菜bd-平湖,7-9K,8.0
9,阿里巴巴集团,阿里巴巴集团招聘货运司机,10-15K,12.5
10,心怡供应链,心怡供应链招聘搬运工/装卸工,7-8K,7.5
11,饿了么,饿了么招聘配送站长,7-8K,7.5
12,京东,快递配送员,6-11K,8.5
13,聚水潭,高薪电销,6-10K,8.0
14,铭品装饰,家装设计师,10-15K,12.5
15,浙江一鸣食品有限公司,设备管理储干(J11409),6-8K,7.0
16,泛微网络,Java开发,6-9K,7.5
17,聚水潭,应用支持工程师,4-7K,5.5
18,友邦吊顶,CAD技术员,7-10K,8.5
19,浙江顺丰,浙江顺丰招聘供应链专员,9-14K,11.5
20,信也科技,只招三人！！！全嘉兴BD销售，月薪2万+,15-30K,22.5
21,良信电器,计划工程师,10-15K,12.5
22,NIO蔚来,蔚来顾问（销售）-海宁,15-30K,22.5
23,融创服务,物业项目经理,9-13K,11.0
24,光云科技,直销组长,5-10K,7.5
25,海底捞火锅,嘉兴海底捞招聘全职 福利待遇好,5-8K,6.5
26,商米,设备工程师,6-10K,8.0
27,秦汉胡同国学书院,校长/储备校长/大平台全国连锁,13-25K,19.0
28,话机世界集团,储备财务,4-5K,4.5
29,百世集团,托盘车工,5-7K,6.0
30,永升服务集团,南湖区物业客服,5-6K,5.5
31,顺丰,顺丰快递收派员,8-10K,9.0
32,圆通速递,圆通设备运维工程师,5-7K,6.0
33,美团服务体验中心,美团服务体验中心招聘物流运营,7-8K,7.5
34,浙江繁荣电气,采购专员,5-7K,6.0
35,浙江大华,售前工程师,8-12K,10.0
36,法本,电气工程师,10-12K,11.0
37,货拉拉科技,货拉拉科技招聘物流经理,6-11K,8.5
38,联众智慧,软件实施工程师,7-12K,9.5
39,绿城物业,物业管家,4-5K,4.5
40,BLD,服务顾问,6-11K,8.5
41,华为,售前解决方案,12-18K,15.0
42,中软国际,急招银行JAVA+包住+差补,12-24K,18.0
43,格林酒店集团,格林豪泰酒店总经理,8-13K,10.5
44,中通快递,中通快递员,7-12K,9.5
45,长春金赛药业,医药销售代表,10-15K,12.5
46,上海米居,产品研发经理（偏向全屋定制产品）,9-14K,11.5
47,富士康,暑假工 日结200 月入7000+,6-8K,7.0
48,麦德龙中国,蔬果部门经理,6-7K,6.5
49,永辉超市集团,永辉超市集团招聘店员/营业员,4-7K,5.5
50,正大天晴,学术专员（医药代表）,8-13K,10.5
51,浙江正凯集团,生产管理储备干部（2024校招）,8-9K,8.5
52,浙江宇视科技,浙江宇视科技招聘物流经理,10-15K,12.5
53,长亮科技,产品经理,11-22K,16.5
54,雅培,雅培招聘普工/操作工,5-6K,5.5
55,智飞生物,产品经理(嘉兴市) (MJ001120),13-25K,19.0
56,天正电气,精益线长(J13244),6-8K,7.0
57,欣联实业,店员导购,4-9K,6.5
58,契约锁,区域销售总监,15-20K,17.5
59,闻泰集团,软件测试,6-8K,7.0
60,途虎养车,城市经理,16-22K,19.0
61,神州租车,门店服务代表（嘉兴）,5-9K,7.0
62,蓝月亮,门店巡检-嘉兴,6-8K,7.0
63,北京三快,销售业务员,8-13K,10.5
64,凯淳股份,凯淳股份招聘配/理/拣/发货,5-6K,5.5
65,中科曙光,暖通设备工程师,7-8K,7.5
66,亚康万玮,idc电气工程师-嘉兴,7-11K,9.0
67,安正时尚集团,摄影师,10-15K,12.5
68,万科物业,万科物业招聘消防中控员,5-7K,6.0
69,美团网,美团点评商家运营,7-12K,9.5
70,好未来,教务专员,3-5K,4.0
71,共进电子股份有限公司,smt技术员,8-9K,8.5
72,特斯拉 Tesla,特斯拉顾问实习生-嘉兴(MJ010268),7-12K,9.5
73,美菜,快销品采购主管,4-7K,5.5
74,萱子饰品,导购,8-13K,10.5
75,上海利真,日系品牌4S店质保销售顾问-桐乡,9-12K,10.5
76,狮桥,信贷管理专员,3-8K,5.5
77,华浔品味装饰,客户经理,6-11K,8.5
78,西奥电梯,安装监督（嘉兴）,10-15K,12.5
79,银泰证券,团队经理,3-5K,4.0
80,Bravo 永辉超市,Bravo 永辉超市招聘陈列员,8-13K,10.5
81,天阳科技,测试工程师,20-30K,25.0
82,慧策（掌上先机）,嘉兴-城市经理(J14446),9-14K,11.5
83,小站教育,线上全职托福 / 雅思老师【居家办公】,20-40K,30.0
84,七牛云,电销团队负责人(J10084),9-14K,11.5
85,太平洋保险,嘉兴太平洋续费专员/包吃双休 社保 不外出,3-8K,5.5
86,中国人寿,保险售后,6-7K,6.5
87,KFC,外送员,15-25K,20.0
88,农夫山泉,大区人事经理,7-8K,7.5
89,捷科智诚,初级银行测试（出差上海）--需现场报销路费,5-8K,6.5
90,杭州顶益(康师傅),康师傅业务员-嘉兴,4-6K,5.0
91,中控信息,驻场工程师,5-8K,6.5
92,华云科技,机房运维,5-8K,6.5
93,贝思特,机械制图,6-10K,8.0
94,华东医药,药店店长（嘉兴）,8-13K,10.5
95,一鸣真鲜奶吧,市场选址开发经理,5-7K,6.0
96,聚光科技,项目助理,7-10K,8.5
97,爱婴室,设备维修工程师,5-8K,6.5
98,卫宁健康,实施工程师,7-9K,8.0
99,生活半径,【嘉兴】外卖配送月入过万提供住宿就近分配,10-12K,11.0
100,滴滴出行,渠道经理/储备城市经理,5-9K,7.0
101,富通天下,云工程师,11-20K,15.5
102,正泰中自,化工工艺设计工程师,4-8K,6.0
103,广州衣百服饰有限公司,女装导购（桐乡爱美谷）,15-20K,17.5
104,小拇指科技,商务经理,8-13K,10.5
105,迪安诊断,营销管培生,6-8K,7.0
106,华润万家,华润万家招聘厨师,6-11K,8.5
107,上海凯泉,销售工程师（嘉兴）,10-15K,12.5
108,中美华东,药学服务专员,4-8K,6.0
109,中国人保财险,嘉善车险客服五险一金,5-10K,7.5
110,中财集团,嘉兴市场客户经理,50-60K,55.0
111,中电海康,无人系统专家,12-17K,14.5
112,美团新零售业务部,嘉兴蔬菜招商采购,10-15K,12.5
113,平安普惠,信贷专员,6-8K,7.0
114,蒙牛乳业,嘉兴城市经理,15-22K,18.5
115,吉利控股集团,芯片软件开发工程师 (MJ054691),14-16K,15.0
116,赛意信息,财务顾问,7-9K,8.0
117,博彦科技,网优工程师,9-14K,11.5
118,海康威视,驻场技术支持,5-6K,5.5
119,绿城物业,绿城物业招聘保安,6-8K,7.0
120,万科,物业经理,8-12K,10.0
121,江苏德邦物流有限公司,江苏德邦物流有限公司招聘供应链专员,8-12K,10.0
122,仁和会计教育集团,分校长（嘉兴校区）,12-24K,18.0
123,江苏达科,ICT 项目经理（嘉兴）,5-10K,7.5
124,鼎捷软件,大客户销售,8-11K,9.5
125,安恒信息,运维工程师,6-10K,8.0
126,艾迪康检验,特检销售代表 (MJ001894),5-7K,6.0
127,世邦魏理仕,厂务技术员,10-11K,10.5
128,amoytop,嘉兴医药信息专员（感染线）,3-5K,4.0
129,汉堡王,楼面经理 五险一金+带薪年假+包吃,10-15K,12.5
130,辉瑞制药,医学信息沟通专员-嘉兴,8-10K,9.0
131,小药药,医药销售岗【海宁】,5-10K,7.5
132,中储智运,中储智运招聘物流经理,9-12K,10.5
133,网鱼,电竞酒店店长,5-7K,6.0
134,爱登堡电梯,爱登堡电梯招聘电梯工,8-13K,10.5
135,和仁科技,实施工程师,4-7K,5.5
136,36氪,市场策划专员,8-12K,10.0
137,鲁班软件,嘉兴驻场BIM工程师,4-5K,4.5
138,天地华宇集团,天地华宇集团招聘物流经理,8-10K,9.0
139,蓝月亮公司,嘉兴桐乡业务主任,8-11K,9.5
140,拉扎斯网络,商户运营经理,5-9K,7.0
